Time,ID,Instance,Obj,Feasible,Validator-Obj
2015-05-25 Mon 07:27:23,4,n060w8,4620,1,0
2015-05-25 Mon 07:27:26,5,n060w8,4820,1,0
2015-05-25 Mon 07:27:29,6,n060w8,4430,1,0
2015-05-25 Mon 07:27:32,7,n060w8,4580,1,0
2015-05-25 Mon 08:07:17,0,n080w4,4260,1,0
2015-05-25 Mon 08:07:20,1,n080w4,4125,1,0
2015-05-25 Mon 08:07:23,2,n080w4,4120,1,0
2015-05-25 Mon 08:07:26,3,n080w4,4205,1,0
2015-05-25 Mon 08:07:29,4,n080w4,4190,1,0
2015-05-25 Mon 08:07:32,5,n080w4,4065,1,0
2015-05-25 Mon 08:07:35,6,n080w4,4050,1,0
2015-05-25 Mon 08:07:38,7,n080w4,4220,1,0
2015-05-25 Mon 08:31:43,0,n050w8,6785,1,0
2015-05-25 Mon 08:31:46,1,n050w8,6970,1,0
2015-05-25 Mon 08:31:49,2,n050w8,6830,1,0
2015-05-25 Mon 08:31:52,3,n050w8,7100,1,0
2015-05-25 Mon 08:31:55,4,n050w8,6850,1,0
2015-05-25 Mon 08:31:58,5,n050w8,6975,1,0
2015-05-25 Mon 08:32:01,6,n050w8,6840,1,0
2015-05-25 Mon 08:32:04,7,n050w8,6920,1,0
2015-05-25 Mon 09:01:57,0,n060w4,3480,1,0
2015-05-25 Mon 09:02:00,1,n060w4,3460,1,0
2015-05-25 Mon 09:02:03,2,n060w4,3430,1,0
2015-05-25 Mon 09:02:06,3,n060w4,3485,1,0
2015-05-25 Mon 09:02:09,4,n060w4,3560,1,0
2015-05-25 Mon 09:02:12,5,n060w4,3390,1,0
2015-05-25 Mon 09:02:15,6,n060w4,3320,1,0
2015-05-25 Mon 09:02:18,7,n060w4,3570,1,0
2015-05-25 Mon 09:18:43,0,n040w8,3785,1,0
2015-05-25 Mon 09:18:46,1,n040w8,3720,1,0
2015-05-25 Mon 09:18:49,2,n040w8,3810,1,0
2015-05-25 Mon 09:18:52,3,n040w8,3775,1,0
2015-05-25 Mon 09:18:55,4,n040w8,3925,1,0
2015-05-25 Mon 09:18:58,5,n040w8,3850,1,0
2015-05-25 Mon 09:19:01,6,n040w8,3845,1,0
2015-05-25 Mon 09:19:04,7,n040w8,3890,1,0
2015-05-25 Mon 09:40:12,0,n050w4,2010,1,0
2015-05-25 Mon 09:40:14,1,n050w4,2020,1,0
2015-05-25 Mon 09:40:17,2,n050w4,1880,1,0
2015-05-25 Mon 09:40:20,3,n050w4,1925,1,0
2015-05-25 Mon 09:40:23,4,n050w4,1995,1,0
2015-05-25 Mon 09:40:26,5,n050w4,1920,1,0
